2018-09-10 14:12:58,288 | WARN  | Transport Connection to: tcp://127.0.0.1:35638 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35638@61616
2018-09-10 14:12:58,288 | WARN  | Transport Connection to: tcp://127.0.0.1:35642 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35642@61616
2018-09-10 14:12:58,288 | WARN  | Transport Connection to: tcp://127.0.0.1:35644 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35644@61616
2018-09-10 14:12:58,288 | WARN  | Transport Connection to: tcp://127.0.0.1:35648 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35648@61616
2018-09-10 14:12:58,288 | WARN  | Transport Connection to: tcp://127.0.0.1:35654 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35654@61616
2018-09-10 14:12:58,288 | WARN  | Transport Connection to: tcp://127.0.0.1:35660 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35660@61616
2018-09-10 14:12:58,288 | WARN  | Transport Connection to: tcp://127.0.0.1:35664 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35664@61616
2018-09-10 14:12:58,288 | WARN  | Transport Connection to: tcp://127.0.0.1:35668 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35668@61616
2018-09-10 14:12:58,288 | WARN  | Transport Connection to: tcp://127.0.0.1:35726 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35726@61616
2018-09-10 14:12:58,288 | WARN  | Transport Connection to: tcp://127.0.0.1:35774 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35774@61616
2018-09-10 14:12:58,288 | WARN  | Transport Connection to: tcp://127.0.0.1:35818 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35818@61616
2018-09-10 14:12:58,288 | WARN  | Transport Connection to: tcp://127.0.0.1:35864 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35864@61616
2018-09-10 14:12:58,288 | WARN  | Transport Connection to: tcp://127.0.0.1:35996 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35996@61616
2018-09-10 14:12:58,288 | WARN  | Transport Connection to: tcp://127.0.0.1:36042 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36042@61616
2018-09-10 14:12:58,288 | WARN  | Transport Connection to: tcp://127.0.0.1:36086 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36086@61616
2018-09-10 14:12:58,288 | WARN  | Transport Connection to: tcp://127.0.0.1:35908 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35908@61616
2018-09-10 14:12:58,288 | WARN  | Transport Connection to: tcp://127.0.0.1:35952 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35952@61616
2018-09-10 14:12:58,288 | WARN  | Transport Connection to: tcp://127.0.0.1:36132 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36132@61616
