Name,Status,Protocol,Vendor,Device Type,Supported products,Installed version,Available version,Nodes in use,Fault license,Performance license,Last modified
"cisco-6506","Available","Snmp","Cisco Systems, Inc","Switch","Cisco 6506","","6.0.10","0","","",""
"cisco-6509","Available","Snmp","Cisco Systems, Inc","Switch","Cisco 6509","","6.0.10","0","","",""
"cisco-7100","Available","Snmp","Cisco Systems, Inc","CMTS","Cisco CMTS Universal Broadband Router 7100 series","","6.0.10","0","","",""
"cisco-7140","Available","Snmp","Cisco Systems, Inc","Router","Cisco 7140 VPN Router","","6.0.10","0","","",""
"cisco-7201","Available","Snmp","Cisco Systems, Inc","Router","7201","","6.0.10","0","","",""
"cisco-7225","Available","Snmp","Cisco Systems, Inc","CMTS","Cisco 7225 Router","","6.0.10","0","","",""
"cisco-7301","Available","Snmp","Cisco, Inc","Router","Cisco-7301 Router","","6.0.10","0","","",""
"cisco-7304","Available","Snmp","Cisco Systems, Inc","Router","Cisco-7304","","6.0.10","0","","",""
"cisco-7603","Available","Snmp","Cisco Systems, Inc","Router","Cisco 7603 / 7603-S Router","","6.0.10","0","","",""
"cisco-7606","Available","Snmp","Cisco Systems, Inc","Router","Cisco 7606 / 7606-S Router","","6.0.10","0","","",""
"cisco-7606s","Available","Snmp","Cisco Systems, Inc","Router","Cisco 7606-S Router","","6.0.10","0","","",""
"cisco-7609","Available","Snmp","Cisco Systems, Inc","Router","Cisco 7609 / 7609-S Router","","6.0.10","0","","",""
"cisco-ace10","Available","Snmp","Cisco Systems, Inc","Switch","Cisco ACE10 K9","","6.0.10","0","","",""
"cisco-ap-1100","Available","Snmp","Cisco Systems, Inc","Access Point","Cisco Aironet 1100 Series Access Point","","6.0.10","0","","",""
"cisco-ap-1200","Available","Snmp","Cisco Systems, Inc","Access Point","Cisco Aironet 1200 Series Access Point","","6.0.10","0","","",""
"cisco-as5400","Available","Snmp","Cisco Systems, Inc","Router","Cisco AS5400 Router","","6.0.10","0","","",""
"cisco-asa-5505","Available","Snmp","Cisco Systems, Inc","Firewall","Cisco ASA 5505","","6.0.10","0","","",""
"cisco-asa-5510","Available","Snmp","Cisco Systems, Inc","Firewall","Cisco ASA 5510","","6.0.10","0","","",""
"cisco-asa-5520","Available","Snmp","Cisco Systems, Inc","Firewall","Cisco ASA 5520","","6.0.10","0","","",""
"cisco-asa-5550","Available","Snmp","Cisco Systems, Inc","Firewall","Cisco ASA 5550","","6.0.10","0","","",""
"cisco-asa-5585x","Available","Snmp","Cisco Systems, Inc","Firewall","Cisco ASA 5585x","","6.0.10","0","","",""
"cisco-asr1000","Available","Snmp","Cisco Systems, Inc","Router","Cisco ASR1000","","6.0.10","0","","",""
"cisco-asr5000","Available","Snmp","Cisco Systems, Inc","Gateway","Cisco ASR 5000","","6.0.10","0","","",""
"cisco-asr9000","Available","Snmp","Cisco Systems, Inc","Router","Cisco ASR 9000","","6.0.10","0","","",""
"cisco-asr901","Available","Snmp","Cisco Systems, Inc","Router","Cisco ASR 901 Series Aggregation Services Router","","6.0.10","0","","",""
"cisco-asr903","Available","Snmp","Cisco Systems, Inc","Router","Cisco-asr903","","6.0.10","0","","",""
"cisco-asr9900","Available","Snmp","Cisco Systems, Inc","Router","Cisco ASR 9900","","6.0.10","0","","",""
"cisco-bac","Available","Snmp","Cisco Systems,Inc","Server","Broadband Access Center","","6.0.10","0","","",""
"cisco-bts10200","Available","Snmp","Cisco Systems, Inc","Switch","BTS10200","","6.0.10","0","","",""
"cisco-callmanager","Available","Snmp","Cisco Systems, Inc","IP_PBX","Cisco CallManager","","6.0.10","0","","",""
"cisco-cat4500e","Available","Snmp","Cisco Systems, Inc","Switch","Cisco-cat4500e","","6.0.10","0","","",""
"cisco-cbr8","Available","Snmp","Cisco","Router","Cisco-cbr8","","6.0.10","0","","",""
"cisco-cmc","Available","Snmp","Cisco Systems, Inc","Gateway","Cisco CMC","","6.0.10","0","","",""
"cisco-continuum-dqa","Available","Snmp","Cisco Systems, Inc","Unknown","continuum-dqa","","6.0.10","0","","",""
"cisco-crs-16s","Available","Snmp","CISCO","Router","Cisco CRS-16s Line Card Chassis Carrier Router","","6.0.10","0","","",""
"cisco-csr1000v","Available","Snmp","CISCO","Unknown","thunder 3030s","","6.0.10","0","","",""
"cisco-d9850","Available","Snmp","Cisco","Unknown","Cisco-d9850","","6.0.10","0","","",""
"cisco-d9859","Available","Snmp","Cisco","Unknown","","","0","0","","",""
"cisco-dcm-9900","Available","Snmp","Cisco Systems, Inc","Video Processor","Cisco DCM 9900 Video Processor","","6.0.10","0","","",""
"cisco-emta","Available","Snmp","Cisco Systems, Inc","MTA","emta","","6.0.10","0","","",""
